Mon Aug 28 10:26:31 2017,Cal test DTC2 New Aug 28.tif
Fri May 12 15:41:47 2017,Cal. Test DTC1.tif
Sat Sep 23 00:49:28 2017,02N1T692694_692694-Text-Proofing_01Sg1 8pg_Sig001_B_Black.tif
Sat Sep 23 00:49:38 2017,02N1T692694_692694-Text-Proofing_01Sg1 8pg_Sig001_B_Cyan.tif
Sat Sep 23 00:49:47 2017,02N1T692694_692694-Text-Proofing_01Sg1 8pg_Sig001_B_Magenta.tif
Sat Sep 23 00:49:56 2017,02N1T692694_692694-Text-Proofing_01Sg1 8pg_Sig001_B_Yellow.tif
Sat Sep 23 00:48:38 2017,02N1T692694_692694-Text-Proofing_01Sg1 8pg_Sig001_F_Black.tif
Sat Sep 23 00:48:50 2017,02N1T692694_692694-Text-Proofing_01Sg1 8pg_Sig001_F_Cyan.tif
Sat Sep 23 00:49:01 2017,02N1T692694_692694-Text-Proofing_01Sg1 8pg_Sig001_F_Magenta.tif
Sat Sep 23 00:49:14 2017,02N1T692694_692694-Text-Proofing_01Sg1 8pg_Sig001_F_Yellow.tif
Sat Sep 23 01:04:17 2017,02N1T692694_692694-Text-Proofing_01Sg10 8pg_Sig010_B_Black.tif
Sat Sep 23 01:04:30 2017,02N1T692694_692694-Text-Proofing_01Sg10 8pg_Sig010_B_Cyan.tif
Sat Sep 23 01:04:42 2017,02N1T692694_692694-Text-Proofing_01Sg10 8pg_Sig010_B_Magenta.tif
Sat Sep 23 01:04:55 2017,02N1T692694_692694-Text-Proofing_01Sg10 8pg_Sig010_B_Yellow.tif
Sat Sep 23 01:03:27 2017,02N1T692694_692694-Text-Proofing_01Sg10 8pg_Sig010_F_Black.tif
Sat Sep 23 01:03:39 2017,02N1T692694_692694-Text-Proofing_01Sg10 8pg_Sig010_F_Cyan.tif
Sat Sep 23 01:03:50 2017,02N1T692694_692694-Text-Proofing_01Sg10 8pg_Sig010_F_Magenta.tif
Sat Sep 23 01:04:00 2017,02N1T692694_692694-Text-Proofing_01Sg10 8pg_Sig010_F_Yellow.tif
Sat Sep 23 00:50:50 2017,02N1T692694_692694-Text-Proofing_01Sg2 8pg_Sig002_B_Black.tif
Sat Sep 23 00:51:02 2017,02N1T692694_692694-Text-Proofing_01Sg2 8pg_Sig002_B_Cyan.tif
Sat Sep 23 00:51:15 2017,02N1T692694_692694-Text-Proofing_01Sg2 8pg_Sig002_B_Magenta.tif
Sat Sep 23 00:51:29 2017,02N1T692694_692694-Text-Proofing_01Sg2 8pg_Sig002_B_Yellow.tif
Sat Sep 23 00:50:10 2017,02N1T692694_692694-Text-Proofing_01Sg2 8pg_Sig002_F_Black.tif
Sat Sep 23 00:50:19 2017,02N1T692694_692694-Text-Proofing_01Sg2 8pg_Sig002_F_Cyan.tif
Sat Sep 23 00:50:28 2017,02N1T692694_692694-Text-Proofing_01Sg2 8pg_Sig002_F_Magenta.tif
Sat Sep 23 00:50:38 2017,02N1T692694_692694-Text-Proofing_01Sg2 8pg_Sig002_F_Yellow.tif
Sat Sep 23 00:52:27 2017,02N1T692694_692694-Text-Proofing_01Sg3 8pg_Sig003_B_Black.tif
Sat Sep 23 00:52:36 2017,02N1T692694_692694-Text-Proofing_01Sg3 8pg_Sig003_B_Cyan.tif
Sat Sep 23 00:52:44 2017,02N1T692694_692694-Text-Proofing_01Sg3 8pg_Sig003_B_Magenta.tif
Sat Sep 23 00:52:52 2017,02N1T692694_692694-Text-Proofing_01Sg3 8pg_Sig003_B_Yellow.tif
